product;sourceService;targetService;protocol;port;description
AVH;Workstation web browser;Nutanix AHV backup appliance;TCP/HTTPS;443;Used to access the Nutanix AHV backup appliance web console.
AVH;Nutanix AHV backup appliance;Nutanix REST API;TCP/HTTPS;9440;Used to communicate with Nutanix AHV REST API (clusters and Prism Central).
AVH;Nutanix AHV backup appliance;Backup server;TCP;10006;Used to connect to Veeam Backup & Replication.
AVH;Nutanix AHV backup appliance;Backup server;TCP;2500 to 3300;Default range of ports used for malware detection metadata transfer.
AVH;Nutanix AHV backup appliance;Workers;TCP;19000;Used to communicate with workers.
AVH;Nutanix AHV backup appliance;Nutanix AHV server (Cluster Virtual IP, Cluster iSCSI Data Services IP, Cluster CVM IPs);TCP/iSCSI;3205, 3260;Used to access disks attached to Nutanix AHV VMs.
AVH;Nutanix AHV backup appliance;Veeam backup repository (or gateway server );TCP;2500-3300;Default range of ports used as transmission channels for jobs and restore sessions. For every TCP connection that a job uses, one port from this range is assigned.
AVH;Nutanix AHV backup appliance;Mail server;SMTP;25;Used to send email notifications. The port number can be changed.
AVH;Nutanix AHV backup appliance;Rocky Linux repositories ( mirrors.rockylinux.org, mirrors.fedoraproject.org, rockylinux.map.fastly.net );TCP/HTTP(S);80 (443);Used to get OS security updates, .NET Core updates and PostgreSQL update packages. The listed mirror URLs are used to get actual URLs that will be used to obtain updates.
AVH;Nutanix AHV backup appliance;Veeam Update Repository ( repository.veeam.com) Amazon CloudFront (cloudfront.net, amazonaws.com );TCP/HTTPS;443;Used to download Nutanix AHV backup appliance update packages. Note : Veeam Update Repository uses the Amazon CloudFront service to distribute traffic when downloading product updates.
AVH;Nutanix AHV backup appliance;PostgreSQL repository ( download.postgresql.org );TCP/HTTPS;443;Used to download PostgreSQL updates..
AVH;Worker;Nutanix REST API;TCP/HTTPS;9440;Used to communicate with Nutanix AHV REST API (clusters and Prism Central).
AVH;Worker;Backup server;TCP;10006;Used to connect to Veeam Backup & Replication.
AVH;Worker;Backup server;TCP;2500 to 3300;Default range of ports used for malware detection metadata transfer.
AVH;Worker;Backup appliance;TCP;19001;Used to communicate with the backup appliance.
AVH;Worker;Nutanix AHV server (Cluster Virtual IP, Cluster iSCSI Data Services IP, Cluster CVM IPs);TCP/iSCSI;3205, 3260;Used to access disks attached to Nutanix AHV VMs.
AVH;Worker;Veeam backup repository (or gateway server );TCP;2500-3300;Default range of ports used as transmission channels for jobs and restore sessions. For every TCP connection that a job uses, one port from this range is assigned.
