product;sourceService;targetService;protocol;port;description
VBEM;Veeam Backup Enterprise Manager server;Backup server;TCP;9405;Default certificate port used by Enterprise Manager for collecting data from backup servers that have Veeam Backup & Replication 12 or later installed. You can customize the port when you add a backup server. For more information, see Adding Backup Servers.
VBEM;Veeam Backup Enterprise Manager server;Backup server;TCP;9392;Default port required for initial connection to a backup server (no matter what version it has). The port is also used by Enterprise Manager for collecting data from backup servers that have Veeam Backup & Replication 11a or earlier installed. You can customize the port when you add a backup server. For more information, see Adding Backup Servers.
VBEM;Veeam Backup Enterprise Manager server;Backup server;TCP;9393;Default port used by the Veeam Guest Catalog service for catalog replication. Can be customized during Veeam Backup & Replication installation.
VBEM;Veeam Backup Enterprise Manager server;Backup server;TCP;2500 to 2600;Ports used by the Veeam Guest Catalog service for replicating catalog data.
VBEM;Veeam Backup Enterprise Manager server;Backup server;TCP;49152 to 65535 (for Microsoft Windows Server 2012 and later);Dynamic RPC port range. For more information, see this Microsoft KB article.
VBEM;Veeam Backup Enterprise Manager server;PostgreSQL hosting the Enterprise Manager configuration database;TCP;5432;Default port used for communication with PostgreSQL hosting the Enterprise Manager configuration database.
VBEM;Veeam Backup Enterprise Manager server;Microsoft SQL Server hosting the Enterprise Manager configuration database;TCP;1433;Default port used for communication with Microsoft SQL Server hosting the Enterprise Manager configuration database. Additional ports may be needed depending on your configuration. For more information, see the Microsoft SQL Docs Configure the Windows Firewall to Allow SQL Server Access article.
VBEM;Veeam Backup Enterprise Manager server;VMware vCenter Server;TCP;443;Default port used for connection to a vCenter Server and deploying the Veeam Plug-in for vSphere Client. Can be customized during Enterprise Manager installation. For more information, see Specify Service Ports.
VBEM;Veeam Backup Enterprise Manager server;DNS server with forward/reverse name resolution of all backup servers;UDP;53;Port used for communication with the DNS Server.
VBEM;Veeam Backup Enterprise Manager server;Active Directory domain controller;TCP, UDP;389;Port used by Enterprise Manager service to communicate with Active Directory over the LDAP protocol.
VBEM;Veeam Backup Enterprise Manager server;Active Directory domain controller;TCP;636;Port used by Enterprise Manager service to communicate with Active Directory over the LDAPS (LDAP over TLS/SSL) protocol.
VBEM;Veeam Backup Enterprise Manager server;Active Directory domain controller;TCP;3268;Port used by Enterprise Manager service to communicate with LDAP Global Catalog.
VBEM;Veeam Backup Enterprise Manager server;Active Directory domain controller;TCP;3269;Port used by Enterprise Manager service to communicate with LDAP Global Catalog over TLS/SSL.
VBEM;Veeam Backup Enterprise Manager server;Active Directory domain controller;TCP;49152 to 65535 (for Microsoft Windows 2008 and later);Ports used by Enterprise Manager service to communicate with Active Directory. These ports are also used during restore through Veeam Self-Service File Restore Portal. This is a default dynamic port range. For more information, see Microsoft Support KB 832017.
VBEM;Veeam Backup Enterprise Manager server;Veeam License Update Server;TCP;443;Default port used to automatically update license from the Veeam License Update Server over HTTPS. Veeam License Update Server endpoints: vbr.butler.veeam.com autolk.veeam.com
