product;sourceService;targetService;protocol;port;description
VBR;Backup server;vCenter Server;TCP;443;Default port used for connections to vCenter Server. Note: The backup server should have a direct connection to vCenter Server. HTTP/HTTPS proxy servers are not supported. If you use VMware Cloud Director, make sure you open port 443 on underlying vCenter Servers.
VBR;Backup server;ESXi server;TCP;443;Default port used for connections to ESXi host. This port is not required for VMware Cloud on AWS.
VBR;Backup server;ESXi server;TCP;902;Port used for data transfer to ESXi host. It is also used during guest OS file recovery if you recover files from replicas. This port is not required for VMware Cloud on AWS.
VBR;Backup server;VMware Cloud Director;TCP;443;Default port used for connections to VMware Cloud Director. Note: The backup server should have a direct connection to VMware Cloud Director. HTTP/HTTPS proxy servers are not supported.
VBR;Backup server;PostgreSQL server hosting the Veeam Backup & Replication configuration database;TCP;5432;Port used for communication with PostgreSQL server on which the Veeam Backup & Replication configuration database is deployed.
VBR;Backup server;Microsoft SQL Server hosting the Veeam Backup & Replication configuration database;TCP;1433;Port used for communication with Microsoft SQL Server on which the Veeam Backup & Replication configuration database is deployed (if you use a Microsoft SQL Server default instance). Additional ports may need to be open depending on your configuration. For more information, see Microsoft Docs.
VBR;Backup server;DNS server with forward/reverse name resolution of all backup servers;UDP;53;Port used for communication with the DNS Server.
VBR;Backup server;Veeam Update Notification Server;TCP;443;Default port used to download information about available updates from the Veeam Update Notification Server over HTTPS. Veeam Update Notification Server endpoints: dev.veeam.com vbrad.butler.veeam.com vbrce.butler.veeam.com
VBR;Backup server;Veeam License Update Server;TCP;443;Default port used to automatically update license from the Veeam License Update Server over HTTPS. Veeam Threat Hunter and Veeam Data Cloud Vault also require this communication to work properly. Veeam License Update Server endpoints: vbr.butler.veeam.com autolk.veeam.com
VBR;Backup server;Veeam License Update Server;TCP;80;Required for certificate validation when Veeam Backup & Replication connects to Veeam License Update Server to check if the new license is available and download it. Certificate verification endpoints: *.ss2.us *.amazontrust.com Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access
VBR;Backup server;Certificate Revocation Lists;TCP;80 or 443;Veeam Backup & Replication requires access to the Certificate Revocation Lists (CRL) of the Certificate Authority (CA) that issued the certificate for each backup infrastructure component. Note : The specific CRL endpoint that must be connected to depends on the CA that issued the certificate. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access
VBR;Backup server;KMS server;TCP;5696;Default port used for communication with Key Management System server.
VBR;Backup server;Veeam ONE Server;TCP;2741;Default port used for communication with Veeam ONE internal Web API. Required for the Analytics view. For more information, see Configuring Analytics View.
VBR;Backup server;Veeam ONE Web Services;TCP;1239;Default port used by Veeam ONE Web Services. Required for the Analytics view. For more information, see Configuring Analytics View.
